timestamp,regionID,temperature_C,wind_speed_m/s,wind_direction,wind_gust,cloud_cover_pct,weathercode
1645441200,09188113,4.38,9,254.69,18.63,96,1001
1645444800,09188113,5.26,8.33,263.58,18.31,55.27,1101
1645448400,09188113,5.28,8.99,258.76,17.9,52.44,1101
1645452000,09188113,5.43,9,260.43,17.96,55.43,1101
1645455600,09188113,5.1,8.28,258.94,17.6,37.71,1101
1645459200,09188113,4.4,7.98,255.18,16.14,37.63,1101
1645462800,09188113,3.56,7.89,252.76,15.72,83.33,1001
1645466400,09188113,3.34,8.37,251.14,16.23,74.94,1102
1645470000,09188113,3.07,8.83,252.08,17.22,83.52,5001
1645473600,09188113,2.94,8.32,258.81,17.14,99.79,5100
1645477200,09188113,3.17,7.88,268.76,16.19,89.81,1001
1645480800,09188113,2.97,7.27,282,15.81,93.89,5001
1645484400,09188113,2.77,6.23,287.1,14.2,68.09,5001
1645488000,09188113,2.4,5.58,276.11,12.12,68.39,5001
1645491600,09188113,2.18,5.04,262.78,10.85,88.1,5001
1645495200,09188113,1.99,5.55,253.84,10.69,92.86,5001
1645498800,09188113,2.06,6.05,261.4,11.72,87.77,1001
1645502400,09188113,2.12,6.14,268.79,12.21,100,5001
1645506000,09188113,2.32,5.84,279.45,11.92,82.63,5001
1645509600,09188113,1.95,5.75,287.93,11.65,71.72,5001
1645513200,09188113,1.88,5.94,283.36,11.86,70.98,5001
1645516800,09188113,2.25,6.05,284.15,12.09,83.45,1001
1645520400,09188113,2.99,6.48,288.34,12.73,62.03,1102
1645524000,09188113,4.11,7.96,282.42,15.63,98.34,1001
1645441200,09375,6.13,7.69,266.63,15.69,81,1001
1645444800,09375,6.83,8.57,265.26,17.31,48.39,1101
1645448400,09375,7.17,7.91,262.48,16.68,100,1001
1645452000,09375,7.34,7.51,260.55,15.17,100,1001
1645455600,09375,6.94,6.87,256.55,14.51,100,1001
1645459200,09375,6.43,6.39,252.14,13.18,87.85,1001
1645462800,09375,5.68,6.96,246.52,13.34,80.5,1001
1645466400,09375,4.63,7.91,249.98,15.26,84.23,1001
1645470000,09375,3.88,7.73,250.77,15.12,100,4200
1645473600,09375,3.84,6.96,261.19,14.79,87.43,4200
1645477200,09375,4.16,6.57,287.67,13.25,90,1001
1645480800,09375,4.11,7.15,300.03,13.77,60.79,1101
1645484400,09375,3.72,6.36,297.99,14.04,59,1101
1645488000,09375,3.36,6.02,289.19,12.13,72.29,1102
1645491600,09375,3.34,5.76,279.4,11.5,92.01,1001
1645495200,09375,3.4,6.11,279.89,11.83,88.4,1001
1645498800,09375,3.29,6.29,285.31,12.19,84.51,1001
1645502400,09375,3.14,6.19,287.18,11.99,82.55,1001
1645506000,09375,2.84,6.05,290.08,11.99,66.13,1102
1645509600,09375,2.66,5.16,287.17,11.56,95.03,1001
1645513200,09375,2.83,5.7,284.28,11.01,97.57,5001
1645516800,09375,3.02,6.27,291.29,12.05,66.01,5001
1645520400,09375,3.72,6.68,298.1,12.83,91.98,1001
1645524000,09375,4.25,6.46,288.65,13.84,43.87,1101
1645441200,09186,6,9.13,265.19,16.81,73,1102
1645444800,09186,6.84,10.39,264.5,18.57,79.43,1001
1645448400,09186,6.57,10.16,264.13,19.07,80.65,1001
1645452000,09186,7.11,8.99,261.59,18.08,80.59,1001
1645455600,09186,6.83,8.91,259.99,16.2,92.88,1001
1645459200,09186,5.97,8.54,253.36,15.8,55.48,1101
1645462800,09186,5.06,8.77,247.19,15.52,92.58,1001
1645466400,09186,4.25,9.31,250.23,16.69,87.08,1001
1645470000,09186,3.6,9.02,249.92,16.67,99.99,4000
1645473600,09186,3.16,9,254.99,17.03,99.19,4200
1645477200,09186,3.43,8.44,277.23,16.36,73.44,1102
1645480800,09186,3.53,7.85,288.98,14.97,80.04,1001
1645484400,09186,3.35,7.02,286.78,13.94,73.58,1102
1645488000,09186,3.04,6.46,278.08,12.45,93.62,1001
1645491600,09186,2.86,6.41,269.59,11.42,85.27,1001
1645495200,09186,2.73,6.5,267.46,11.51,87.36,1001
1645498800,09186,2.69,6.83,269.27,12.42,95.61,5001
1645502400,09186,2.67,6.24,278.56,12.08,84.03,1001
1645506000,09186,2.54,6.24,291.18,11.09,81.95,1001
1645509600,09186,2.43,6.35,291.18,11.38,63.82,1102
1645513200,09186,2.4,5.82,288.75,11.27,75.75,1001
1645516800,09186,2.81,6.25,288.91,11.14,86.78,5001
1645520400,09186,3.46,7.35,290.39,13.11,96.87,1001
1645524000,09186,3.93,7.85,280.58,14.55,89.48,1001
